epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
25,8526.94,0.8618,0.84255,1.16209,0.69752,0.68021,0.8835,0.72272,0.98718,0.9001,1.27354,0.00771,0.00257,0.00771,0.00257,0.00771,0.00257,0.00771,0.00257
26,8876.43,0.83913,0.77924,1.15445,0.7327,0.70929,0.8874,0.72771,0.97314,0.89996,1.25858,0.00762,0.00254,0.00762,0.00254,0.00762,0.00254,0.00762,0.00254
27,9208.49,0.80363,0.68887,1.14976,0.71856,0.73097,0.8818,0.72365,0.9692,0.86799,1.24887,0.00752,0.00251,0.00752,0.00251,0.00752,0.00251,0.00752,0.00251
28,9541.7,0.77123,0.63987,1.12504,0.73856,0.73507,0.8902,0.72543,0.95344,0.81309,1.24617,0.00743,0.00248,0.00743,0.00248,0.00743,0.00248,0.00743,0.00248
29,9877.77,0.7449,0.59826,1.11499,0.74384,0.76993,0.8808,0.72435,0.94668,0.78576,1.2388,0.00734,0.00245,0.00734,0.00245,0.00734,0.00245,0.00734,0.00245
30,10218.8,0.71395,0.57104,1.09858,0.77841,0.77996,0.9071,0.74007,0.92091,0.75135,1.22817,0.00725,0.00242,0.00725,0.00242,0.00725,0.00242,0.00725,0.00242
31,10558.89,0.68769,0.52596,1.08981,0.79408,0.79273,0.8901,0.73085,0.91035,0.72255,1.2219,0.00716,0.00239,0.00716,0.00239,0.00716,0.00239,0.00716,0.00239
32,10889.86,0.67349,0.47422,1.09106,0.82179,0.79314,0.8939,0.72874,0.89604,0.6899,1.22023,0.00707,0.00236,0.00707,0.00236,0.00707,0.00236,0.00707,0.00236
33,11220.28,0.63539,0.44584,1.07883,0.81422,0.79755,0.8862,0.72927,0.882,0.6593,1.21137,0.00697,0.00232,0.00697,0.00232,0.00697,0.00232,0.00697,0.00232
34,11564.96,0.61668,0.44159,1.06734,0.82209,0.81152,0.8734,0.71712,0.86454,0.65236,1.21077,0.00688,0.00229,0.00688,0.00229,0.00688,0.00229,0.00688,0.00229
35,11899.25,0.60897,0.40027,1.05387,0.84013,0.82843,0.8834,0.72176,0.85658,0.63571,1.21053,0.00679,0.00226,0.00679,0.00226,0.00679,0.00226,0.00679,0.00226
36,12229.55,0.59673,0.37684,1.03781,0.84032,0.8307,0.8913,0.72599,0.84275,0.61948,1.20298,0.0067,0.00223,0.0067,0.00223,0.0067,0.00223,0.0067,0.00223
37,12575.48,0.5773,0.35086,1.02781,0.84977,0.84309,0.8944,0.73342,0.83548,0.60461,1.19825,0.00661,0.0022,0.00661,0.0022,0.00661,0.0022,0.00661,0.0022
38,12919.73,0.56154,0.32275,1.01696,0.85139,0.85541,0.8853,0.72257,0.82906,0.59437,1.19388,0.00652,0.00217,0.00652,0.00217,0.00652,0.00217,0.00652,0.00217
39,13267.36,0.5466,0.30497,1.00508,0.8611,0.87069,0.8868,0.72402,0.81739,0.57794,1.18814,0.00642,0.00214,0.00642,0.00214,0.00642,0.00214,0.00642,0.00214
40,13604.44,0.53325,0.29159,0.99599,0.86784,0.87831,0.8868,0.73157,0.80785,0.56965,1.18158,0.00633,0.00211,0.00633,0.00211,0.00633,0.00211,0.00633,0.00211
41,453.759,0.52365,0.28216,0.98854,0.87151,0.88593,0.88286,0.73048,0.79993,0.56364,1.17548,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,911.90279,0.51664,0.27995,0.98225,0.88416,0.87905,0.8876,0.73399,0.8003,0.56379,1.17505,0.00555,0.00185,0.00555,0.00185,0.00555,0.00185,0.00555,0.00185
43,1369.38063,0.50963,0.27865,0.97532,0.87851,0.88312,0.88248,0.73164,0.80015,0.56358,1.17539,0.00485,0.00162,0.00485,0.00162,0.00485,0.00162,0.00485,0.00162
44,1823.90268,0.50289,0.27664,0.96859,0.87794,0.8869,0.88313,0.73222,0.79939,0.56336,1.17504,0.00416,0.00139,0.00416,0.00139,0.00416,0.00139,0.00416,0.00139
45,2282.82897,0.49552,0.27467,0.96266,0.87431,0.89365,0.88684,0.73434,0.79959,0.56377,1.17504,0.00347,0.00116,0.00347,0.00116,0.00347,0.00116,0.00347,0.00116
46,2735.04081,0.4888,0.27276,0.95551,0.87081,0.88948,0.88335,0.73294,0.79939,0.56333,1.17436,0.00277,0.00092,0.00277,0.00092,0.00277,0.00092,0.00277,0.00092
47,3192.21273,0.48199,0.27076,0.94901,0.88382,0.87699,0.8837,0.73398,0.79905,0.56286,1.17514,0.00208,0.00069,0.00208,0.00069,0.00208,0.00069,0.00208,0.00069
48,3646.41207,0.47501,0.26941,0.94194,0.88265,0.87729,0.88357,0.73375,0.79978,0.56346,1.17469,0.00139,0.00046,0.00139,0.00046,0.00139,0.00046,0.00139,0.00046
49,4106.33273,0.46732,0.26754,0.93623,0.88266,0.87975,0.88445,0.73501,0.7993,0.56279,1.17407,0.00069,0.00023,0.00069,0.00023,0.00069,0.00023,0.00069,0.00023
50,4561.53569,0.46093,0.26541,0.9297,0.88331,0.87645,0.88701,0.73638,0.79876,0.56278,1.17421,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
