epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
17,4776.77,1.35485,1.19448,1.2888,0.82665,0.63959,0.71507,0.49582,1.37885,1.11526,1.2316,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,5979,1.33408,1.1646,1.27876,0.82895,0.64507,0.71745,0.49833,1.36946,1.10316,1.22903,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,1176.67,1.28474,1.09679,1.24551,0.8311,0.65144,0.72436,0.50584,1.36465,1.09197,1.22561,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,2353.91,1.28036,1.08877,1.24129,0.83036,0.65101,0.72504,0.50447,1.36885,1.08453,1.22448,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,3546.05,1.27199,1.07653,1.238,0.8383,0.64975,0.7234,0.50519,1.36639,1.08018,1.21972,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,4719.99,1.27031,1.07508,1.23419,0.83976,0.65405,0.72546,0.50829,1.36115,1.07629,1.21568,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,5909.17,1.27358,1.08152,1.23974,0.84032,0.65536,0.72757,0.5112,1.3582,1.07227,1.21315,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,7092.54,1.29452,1.10298,1.2452,0.84644,0.65398,0.73046,0.51427,1.35606,1.06555,1.21021,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,8295.61,1.28119,1.08545,1.23877,0.84691,0.6572,0.73316,0.51734,1.34945,1.0593,1.20559,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,9508.54,1.27639,1.07638,1.23493,0.84784,0.65962,0.73389,0.51905,1.34534,1.05632,1.20322,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,10721.9,1.26438,1.06403,1.22979,0.84355,0.65998,0.73506,0.52092,1.34147,1.05198,1.20092,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,1234.46,1.18078,0.96323,1.18411,0.84503,0.66282,0.73609,0.52139,1.34137,1.05018,1.20124,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,2467.53,1.18428,0.96079,1.1839,0.84636,0.66196,0.73669,0.52158,1.34101,1.04912,1.20088,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,3673.77,1.17901,0.95505,1.18233,0.8488,0.6606,0.73622,0.52081,1.34176,1.0494,1.20149,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,4882.34,1.18151,0.95484,1.18274,0.84673,0.66193,0.73418,0.51999,1.34188,1.04902,1.2017,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,6092.38,1.18371,0.96465,1.18748,0.84909,0.66169,0.73388,0.51993,1.34186,1.04845,1.20153,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,7309.11,1.20959,0.98719,1.19678,0.84663,0.66414,0.73301,0.51949,1.34228,1.04704,1.20158,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,8543.14,1.2052,0.98272,1.1947,0.84847,0.66404,0.73282,0.5191,1.34178,1.04584,1.20111,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,9782.78,1.20981,0.9874,1.19631,0.84819,0.66503,0.73302,0.5191,1.34148,1.04411,1.20075,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,11021.6,1.20799,0.98633,1.19601,0.84689,0.6653,0.73292,0.51904,1.34113,1.04258,1.20009,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,12259.3,1.20186,0.97989,1.19419,0.84669,0.66595,0.73277,0.51889,1.34109,1.04166,1.19932,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,13514.3,1.20195,0.97608,1.19197,0.84786,0.66587,0.73344,0.51937,1.34035,1.03986,1.19843,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,14762.1,1.19695,0.97765,1.19451,0.84774,0.66635,0.7337,0.52037,1.33898,1.03845,1.19724,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,16022.9,1.18852,0.96065,1.18398,0.85072,0.66594,0.73468,0.52133,1.33735,1.03704,1.19564,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,17397.8,1.18358,0.85801,1.17758,0.85426,0.66523,0.73501,0.52261,1.33644,1.03614,1.19467,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,18691.1,1.15697,0.83802,1.16664,0.85453,0.6645,0.73637,0.52443,1.33564,1.03542,1.19378,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,19989.7,1.14797,0.82254,1.15988,0.85654,0.66427,0.73795,0.52604,1.33493,1.03424,1.1929,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,1182.89,1.06255,0.82522,1.12283,0.85439,0.66547,0.73832,0.52614,1.33527,1.03461,1.19303,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,1199.62,1.05353,0.81717,1.11862,0.8537,0.66605,0.73831,0.52613,1.33573,1.03509,1.19337,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,1303.97,1.04783,0.81206,1.11678,0.85531,0.6657,0.73839,0.52619,1.33594,1.0354,1.19354,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,1248.07,1.04333,0.80781,1.11485,0.85489,0.66555,0.73822,0.52597,1.33641,1.03592,1.19388,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,1253.96,1.0388,0.80375,1.11311,0.85589,0.66566,0.73758,0.52582,1.33702,1.0366,1.19429,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,1224.9,1.03514,0.80064,1.11186,0.85743,0.66514,0.73751,0.52598,1.33729,1.03758,1.19443,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,2469.03,1.05259,0.80834,1.11783,0.85884,0.66488,0.73732,0.52573,1.33785,1.03827,1.19467,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
